127.0.0.1 - - [21/Aug/2014:08:12:36 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:12:38 -0300] "GET /Lista1/ HTTP/1.1" 404 965
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:12:45 -0300] "GET /Lista1/tabuada HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:12:58 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:13:26 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:13:32 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 318
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:00 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:02 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:03 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:03 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:03 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:04 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:04 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:43 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:44 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:44 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:44 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:45 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:15:45 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:25:59 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:26:37 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:26:38 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:26:39 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:26:39 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:26:39 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:26:40 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:26:40 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:29:29 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:29:31 -0300] "GET /Lista1/Tabuada HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:32:45 -0300] "GET /Lista1/Tabuada?tabuada=5 HTTP/1.1" 200 364
0:0:0:0:0:0:0:1 - - [21/Aug/2014:08:33:12 -0300] "GET /Lista1/Tabuada?tabuada=w HTTP/1.1" 200 163
